group,topic,hz,bw,peak_hz,peak_bw,modes,info,follow_pub_count,follow_pub_nodes,follow_sub_count,follow_sub_nodes,yolo_pub_count,yolo_pub_nodes,yolo_sub_count,yolo_sub_nodes,yolo_tracker_pub_count,yolo_tracker_pub_nodes,yolo_tracker_sub_count,yolo_tracker_sub_nodes,yolo_visual_bridge_pub_count,yolo_visual_bridge_pub_nodes,yolo_visual_bridge_sub_count,yolo_visual_bridge_sub_nodes,yolo_full_pub_count,yolo_full_pub_nodes,yolo_full_sub_count,yolo_full_sub_nodes,support_yolo_pub_count,support_yolo_pub_nodes,support_yolo_sub_count,support_yolo_sub_nodes
Follow and YOLO family,/a201_0000/sensors/camera_0/color/image,14.598,12.83 MB/s,-,-,"FOLLOW, YOLO",sensor_msgs/msg/Image,1,ugv_camera_0_rgb_bridge,0,-,1,ugv_camera_0_rgb_bridge,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YOLO family only,/coord/leader_visual_control_debug_image,14.000,12.31 MB/s,14.000 (FULL),12.31 MB/s (FULL),"VISUAL BRIDGE, FULL",sensor_msgs/msg/Image,-,-,-,-,-,-,-,-,-,-,-,-,1,visual_follow_controller,0,-,1,visual_follow_controller,0,-,-,-,-,-
Follow and YOLO family,/a201_0000/sensors/lidar3d_0/points,16.191,12.10 MB/s,16.191 (VISUAL BRIDGE),12.10 MB/s (VISUAL BRIDGE),"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",sensor_msgs/msg/PointCloud2,1,ugv_lidar3d_0_points_bridge,1,/a201_0000/pointcloud_to_laserscan,1,ugv_lidar3d_0_points_bridge,1,/a201_0000/pointcloud_to_laserscan,1,ugv_lidar3d_0_points_bridge,1,/a201_0000/pointcloud_to_laserscan,1,ugv_lidar3d_0_points_bridge,1,/a201_0000/pointcloud_to_laserscan,1,ugv_lidar3d_0_points_bridge,1,/a201_0000/pointcloud_to_laserscan,1,ugv_lidar3d_0_points_bridge,1,/a201_0000/pointcloud_to_laserscan
YOLO family only,/coord/leader_debug_image,12.793,11.24 MB/s,-,-,YOLO,sensor_msgs/msg/Image,-,-,-,-,1,leader_estimator,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YOLO family only,/dji0/camera0/depth_image,7.196,8.43 MB/s,7.196 (VISUAL BRIDGE),8.43 MB/s (VISUAL BRIDGE),"YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",sensor_msgs/msg/Image,-,-,-,-,1,uav_depth_bridge,1,leader_estimator,1,uav_depth_bridge,1,leader_estimator,1,uav_depth_bridge,1,leader_estimator,1,uav_depth_bridge,1,leader_estimator,1,uav_depth_bridge,1,leader_estimator
YOLO family only,/dji2/camera0/image_raw,7.798,6.85 MB/s,7.798 (SUPPORT YOLO),6.85 MB/s (SUPPORT YOLO),SUPPORT YOLO,sensor_msgs/msg/Image,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,/support_follow_spawn_dji2/uav_camera_bridge,1,support_dji2_leader_detector
YOLO family only,/dji1/camera0/image_raw,7.599,6.68 MB/s,7.599 (SUPPORT YOLO),6.68 MB/s (SUPPORT YOLO),SUPPORT YOLO,sensor_msgs/msg/Image,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,/support_follow_spawn_dji1/uav_camera_bridge,1,support_dji1_leader_detector
Follow and YOLO family,/dji0/camera0/image_raw,7.400,6.50 MB/s,7.400 (FULL),6.50 MB/s (FULL),"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",sensor_msgs/msg/Image,1,uav_camera_bridge,0,-,1,uav_camera_bridge,2,"leader_detector, leader_estimator",1,uav_camera_bridge,2,"leader_tracker, leader_estimator",1,uav_camera_bridge,3,"leader_tracker, leader_estimator, +1",1,uav_camera_bridge,3,"leader_tracker, leader_estimator, +1",1,uav_camera_bridge,2,"leader_detector, leader_estimator"
Follow and YOLO family,/a201_0000/controller_manager/statistics/full,247.334,596.11 KB/s,247.334 (VISUAL BRIDGE),596.11 KB/s (VISUAL BRIDGE),"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",pal_statistics_msgs/msg/Statistics,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-
Follow and YOLO family,/a201_0000/particle_cloud,2.399,90.19 KB/s,2.399 (SUPPORT YOLO),90.19 KB/s (SUPPORT YOLO),"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav2_msgs/msg/ParticleCloud,1,/a201_0000/amcl,0,-,1,/a201_0000/amcl,0,-,1,/a201_0000/amcl,0,-,1,/a201_0000/amcl,0,-,1,/a201_0000/amcl,0,-,1,/a201_0000/amcl,0,-
Follow and YOLO family,/a201_0000/controller_manager/statistics/values,246.934,79.10 KB/s,246.934 (VISUAL BRIDGE),79.10 KB/s (VISUAL BRIDGE),"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",pal_statistics_msgs/msg/StatisticsValues,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-
Follow and YOLO family,/a201_0000/sensors/lidar3d_0/scan_from_points,13.399,48.05 KB/s,-,-,"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",sensor_msgs/msg/LaserScan,1,/a201_0000/pointcloud_to_laserscan,2,"/a201_0000/local_costmap/local_costmap, /a201_0000/amcl",1,/a201_0000/pointcloud_to_laserscan,2,"/a201_0000/amcl, /a201_0000/local_costmap/local_costmap",1,/a201_0000/pointcloud_to_laserscan,2,"/a201_0000/amcl, /a201_0000/local_costmap/local_costmap",1,/a201_0000/pointcloud_to_laserscan,2,"/a201_0000/amcl, /a201_0000/local_costmap/local_costmap",1,/a201_0000/pointcloud_to_laserscan,3,"/a201_0000/latest_scan_relay, /a201_0000/local_costmap/local_costmap",1,/a201_0000/pointcloud_to_laserscan,2,"/a201_0000/local_costmap/local_costmap, /a201_0000/amcl"
Follow and YOLO family,/a201_0000/controller_manager/introspection_data/full,19.798,42.30 KB/s,-,-,"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",pal_statistics_msgs/msg/Statistics,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-
Follow and YOLO family,/a201_0000/plan,0.900,41.36 KB/s,0.900 (VISUAL BRIDGE),41.36 KB/s (SUPPORT YOLO),"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav_msgs/msg/Path,2,"/a201_0000/planner_server, /a201_0000/route_server",0,-,2,"/a201_0000/planner_server, /a201_0000/route_server",0,-,2,"/a201_0000/planner_server, /a201_0000/route_server",0,-,2,"/a201_0000/planner_server, /a201_0000/route_server",0,-,2,"/a201_0000/planner_server, /a201_0000/route_server",0,-,2,"/a201_0000/planner_server, /a201_0000/route_server",0,-
YOLO family only,/a201_0000/sensors/lidar3d_0/scan_from_points_relay,10.199,36.57 KB/s,10.199 (FULL),36.57 KB/s (FULL),FULL,sensor_msgs/msg/LaserScan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,/a201_0000/latest_scan_relay,1,/a201_0000/amcl,-,-,-,-
