place,x,y,z,yaw,amcl_x,amcl_y,amcl_yaw
parkinglot_west,-95.457199438,82.705200284,-0.102158906,0.462155292,-29.566388673781066,165.82539120682532,0.031258310231572904
parkinglot_west_to_art,-43.974498206,84.451970046,-0.169300054,-1.098095702,17.48046950137485,146.0246037490767,-1.4837263461457781
parkinglot_west_to_spawn_west1,-26.594454405,48.853467531,0.402098285,-1.104970894,17.653338401379642,105.35754175169816,-1.5250482563908991
parkinglot_west_to_spawn_west2,-66.149611277,13.993879711,0.817009091,3.555199408,-33.971357729652425,91.88710198388365,3.1092955717416535
spawn_west,-107.607933732,-6.028281704,0.226830669,3.603179607,-79.51719606801676,91.27986583035636,3.1230678795970817
spawn_east,-103.074996948,-15.141599656,-0.023262599,0.427762797,-78.89163472640503,81.23993093862278,-0.01679881355694538
spawn_east_to_parkinglot_east1,-68.921307610,1.030983982,0.509867134,0.446875955,-42.65527751229109,80.7718232925496,-0.04315090089695607
spawn_east_to_parkinglot_east2,-6.822499000,11.132042854,0.206618295,-1.110429582,17.93388806426676,65.65772996516844,-1.5608674876100948
parkinglot_east1,-71.901833219,-37.095737268,0.104198637,3.622645049,-60.71640701038685,48.201891457388896,3.1407207253516853
parkinglot_east2,-44.596244663,-93.276450222,0.104198931,0.466324716,-60.896943601297416,-14.649324349999848,0.035264762359443765
parkinglot_east_to_strip,38.879532775,-79.121856025,-0.665406255,-1.090017774,19.4,-36.5,-1.5191762640836282
strip1,125.142567217,-176.544225093,-0.538013186,-0.295718500,54.8,-162.1,-0.8049555826422481
strip2,217.001452889,-173.602138931,-0.851760928,0.310998086,138.60000000000474,-200.500000000005,-0.06661019503312784
strip3,288.357974038,-143.774040232,-0.390922471,0.281443420,215.59483732463158,-205.4947741776252,-0.12629080254597755
strip4,348.623079448,-133.817600759,-0.112980714,0.043519448,273.6406010460158,-222.79411692262957,-0.40570897530510247
strip5,410.424932080,-137.456629140,-0.421449376,-0.132568434,327.682164894129,-253.3683510507577,-0.5818926824786069
strip_end,521.204458633,-146.209378906,0.025319045,0.066450510,424.6,-309.9,-0.4181796474183808
strip_to_playground1,518.806097071,-126.187678413,0.101144242,1.620561379,429.8,-290.5,1.1621623104101177
strip_to_playground2,449.692371573,-12.226093976,-0.796850544,2.420000465,418.4,-158.3,1.9796857946950095
playground,131.140720467,10.610762318,-0.313679656,3.251065901,141.45934853163197,1.6903764981326466,2.745724085292143
playground_circle,114.470001219,39.345401764,-0.078023497,1.362770290,139.58702565546423,34.82343314841645,0.9452807147749472
playground_to_art1,123.094986293,57.078212495,0.396832902,2.756036866,155.22464050044576,46.93070380239271,2.2900290146174016
playground_to_art2,73.732681467,76.974364907,0.030700167,2.723275062,118.24145888992584,87.7969418586185,2.2752982530809236
playground_to_art3,40.462514142,90.854809592,0.825234905,2.722979497,95.56402955679854,114.20481351357324,2.2678098768653525
art1,17.058300049,114.661003299,0.825234113,1.688569925,84.90640611158972,145.6782117521499,1.2206312913106805
art2,6.497749451,122.614993429,0.825234550,4.055730079,78.86351051581258,157.1529973801186,-2.6432373284613773
art3,0.824208161,115.254646230,0.825234807,4.055735329,70.6607188672155,153.00519327631633,-2.6542066489828784
art_wall,-8.104599953,90.619697571,0.825233759,4.055735329,52.015462010703374,134.7350657089649,-2.6865254381474695
art_park,-20.879355295,73.617641700,0.617424764,4.055665721,33.78203293599672,124.55800409732176,-2.6211352123731064
art_to_parkinglot_west1,-30.319177628,60.879671576,0.248317812,3.775357223,19.07701768663038,118.16498181145175,-2.9740182585547164
art_to_parkinglot_west2,-47.572705777,84.181237895,-0.213261990,3.679990717,14.311749574037702,145.88516694673817,-3.061577514211299

parkinglot_west_to_rotundan,-61.881679388,145.756203993,-0.431978544,0.479152923,27.042639904419556,207.543492760699,0.011990666083918996
