dataset,scenario,version,best_model,map50_95,map50,precision,recall,metrics_json
road_to_east_v1,road_to_east,1,baylands-leader-v1,0.5739749166576954,0.8826848484848484,0.95205292578471,0.84,/home/ruben/halmstad_ws/models/results/baylands-leader-v1/road_to_east_v1/val/metrics.json
road_to_east_v5,road_to_east,5,baylands-leader-v4-2,0.49394921524256785,0.8522544291747328,0.6960870345002566,0.8,/home/ruben/halmstad_ws/models/results/baylands-leader-v4-2/road_to_east_v5/val/metrics.json
road_to_spawn_v1,road_to_spawn,1,baylands-leader-v1,0.9201986181532529,0.9777272727272728,0.9596492529892703,0.96,/home/ruben/halmstad_ws/models/results/baylands-leader-v1/road_to_spawn_v1/val/metrics.json
road_to_spawn_v3,road_to_spawn,3,baylands-leader-v3,0.8732313668031315,0.995,0.9974628834069629,1.0,/home/ruben/halmstad_ws/models/results/baylands-leader-v3/road_to_spawn_v3/val/metrics.json
road_to_spawn_v5,road_to_spawn,5,baylands-leader-v1,0.8471625809624335,0.9751470085470083,0.9781065108160782,0.98,/home/ruben/halmstad_ws/models/results/baylands-leader-v1/road_to_spawn_v5/val/metrics.json
road_to_strip_v1,road_to_strip,1,baylands-leader-v4-2,0.5419487164038939,0.6840656188036051,0.5554331735391266,0.6999705947166102,/home/ruben/halmstad_ws/models/results/baylands-leader-v4-2/road_to_strip_v1/val/metrics.json
road_to_strip_v3,road_to_strip,3,baylands-leader-v1,0.7760867412955748,0.9074256411737349,0.8974097970839047,0.9,/home/ruben/halmstad_ws/models/results/baylands-leader-v1/road_to_strip_v3/val/metrics.json
road_to_west_v1,road_to_west,1,baylands-leader-v3,0.7947881320949433,0.995,0.997228062133582,1.0,/home/ruben/halmstad_ws/models/results/baylands-leader-v3/road_to_west_v1/val/metrics.json
road_to_west_v3,road_to_west,3,baylands-leader-v3,0.9027720938710413,0.9408909090909091,0.9814541795199864,0.88,/home/ruben/halmstad_ws/models/results/baylands-leader-v3/road_to_west_v3/val/metrics.json
road_to_west_v5,road_to_west,5,baylands-leader-v3,0.8270231466450216,0.975,0.9965699382392773,0.9722222222222222,/home/ruben/halmstad_ws/models/results/baylands-leader-v3/road_to_west_v5/val/metrics.json
road_to_west_v6,road_to_west,6,baylands-leader-v4-2,0.8331981699403548,0.9801388888888889,0.9936635334506451,0.88,/home/ruben/halmstad_ws/models/results/baylands-leader-v4-2/road_to_west_v6/val/metrics.json
rotundan_v1,rotundan,1,baylands-leader-v3,0.7268391418779998,0.9633673469387757,1.0,0.9382562871348681,/home/ruben/halmstad_ws/models/results/baylands-leader-v3/rotundan_v1/val/metrics.json
rotundan_v2,rotundan,2,baylands-leader-v4-2,0.5742072676549164,0.8639289964495308,0.9244591458399759,0.8,/home/ruben/halmstad_ws/models/results/baylands-leader-v4-2/rotundan_v2/val/metrics.json
rotundan_v3,rotundan,3,baylands-leader-v4-2,0.7753182795684669,0.9422222222222223,0.9439437007459469,0.9359318015699859,/home/ruben/halmstad_ws/models/results/baylands-leader-v4-2/rotundan_v3/val/metrics.json
rotundan_v4,rotundan,4,baylands-leader-v5,0.49445000000000006,0.796,0.6509797413302811,1.0,/home/ruben/halmstad_ws/models/results/baylands-leader-v5/rotundan_v4/val/metrics.json
rotundan_v6,rotundan,6,baylands-leader-v1,0.619522288426116,0.9741176470588235,1.0,0.9372781190756263,/home/ruben/halmstad_ws/models/results/baylands-leader-v1/rotundan_v6/val/metrics.json
rotundan_v7,rotundan,7,baylands-leader-v1,0.5778015873015873,0.9783333333333333,0.9963671474608063,0.9,/home/ruben/halmstad_ws/models/results/baylands-leader-v1/rotundan_v7/val/metrics.json
rotundan_v8,rotundan,8,baylands-leader-v4-2,0.6608862160115142,0.9450634920634922,0.977702026108429,0.9329789722274389,/home/ruben/halmstad_ws/models/results/baylands-leader-v4-2/rotundan_v8/val/metrics.json
spawn_v1,spawn,1,baylands-leader-v3,0.6885721307664647,0.9578477011494253,1.0,0.9153417922749847,/home/ruben/halmstad_ws/models/results/baylands-leader-v3/spawn_v1/val/metrics.json
spawn_v2,spawn,2,baylands-leader-v3,0.4774973838717916,0.8305569157558994,0.7796572392733296,0.6553527505477634,/home/ruben/halmstad_ws/models/results/baylands-leader-v3/spawn_v2/val/metrics.json
strip_v3,strip,3,baylands-leader-v4-2,0.8492785588586065,0.9767857142857144,1.0,0.9123815983362139,/home/ruben/halmstad_ws/models/results/baylands-leader-v4-2/strip_v3/val/metrics.json
strip_v5,strip,5,baylands-leader-v4-2,0.9130053175664491,0.9831474287828338,0.952484761914818,0.94,/home/ruben/halmstad_ws/models/results/baylands-leader-v4-2/strip_v5/val/metrics.json
strip_v7,strip,7,baylands-leader-v3,0.8545009641790104,0.9889353962835707,0.9820104224665681,0.9331349235229708,/home/ruben/halmstad_ws/models/results/baylands-leader-v3/strip_v7/val/metrics.json
