rank,model_version,eval_score,train_score,train_mAP50-95,main_test_mAP50-95,gen_avg_mAP50-95,pred_avg_score,main_pred_score,gen_avg_pred_score,main_val_mAP50-95,train_mAP50,train_precision,train_recall,main_test_mAP50,main_test_precision,main_test_recall,gen_art_mAP50-95,gen_playground_mAP50-95,gen_road_to_art_mAP50-95,gen_rotundan_mAP50-95,epoch,lr0,mosaic,scale,degrees,model,data,run,metrics_file,gen_art_mAP50,gen_art_metric_score,gen_art_precision,gen_art_pred_false_positive_empty,gen_art_pred_iou,gen_art_pred_issue_rate,gen_art_pred_multi_prediction,gen_art_pred_no_prediction,gen_art_pred_score,gen_art_recall,gen_avg_metric_score,gen_playground_mAP50,gen_playground_metric_score,gen_playground_precision,gen_playground_pred_false_positive_empty,gen_playground_pred_iou,gen_playground_pred_issue_rate,gen_playground_pred_multi_prediction,gen_playground_pred_no_prediction,gen_playground_pred_score,gen_playground_recall,gen_road_to_art_mAP50,gen_road_to_art_metric_score,gen_road_to_art_precision,gen_road_to_art_pred_false_positive_empty,gen_road_to_art_pred_iou,gen_road_to_art_pred_issue_rate,gen_road_to_art_pred_multi_prediction,gen_road_to_art_pred_no_prediction,gen_road_to_art_pred_score,gen_road_to_art_recall,gen_rotundan_mAP50,gen_rotundan_metric_score,gen_rotundan_precision,gen_rotundan_pred_false_positive_empty,gen_rotundan_pred_iou,gen_rotundan_pred_issue_rate,gen_rotundan_pred_multi_prediction,gen_rotundan_pred_no_prediction,gen_rotundan_pred_score,gen_rotundan_recall,main_pred_false_positive_empty,main_pred_iou,main_pred_issue_rate,main_pred_multi_prediction,main_pred_no_prediction,main_test_metric_score,main_val_mAP50,main_val_metric_score,main_val_precision,main_val_recall,train_metric_score
1,v10-tuned-no-rotundan,0.8347179139321688,0.9008718500000001,0.864358,0.8841161195954161,0.7800178391686107,0.7742361640521772,0.8158990283600396,0.7325732997443148,0.8735033805589542,0.992138,0.990889,0.979303,0.9949112426035501,0.9941146616789576,0.9936116251715466,0.7720242539333787,0.8083457608591372,0.7959703917169995,0.7437309501649272,61.0,0.00045,0.2031,0.28036,0.00363,ul://ruben-croall/top-10-obb-models-from-scoreboard/v10-tuned-from-v9-tight-5,ul://ruben-croall/datasets/sam3-obb-no-rotundan,v10-tuned-no-rotundan,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v10-tuned-no-rotundan.json,0.9750988891058032,0.8580122272178959,0.9728991285197034,1,0.760305376146789,0.04878048780487805,0,11,0.7232173090176772,0.9405946458760446,0.8659662321548544,0.9919184182869945,0.888052321670824,0.9707846954089958,1,0.7857273198198198,0.01606425702811245,0,3,0.7731051942002243,0.9866666666666667,0.995,0.8867009236383441,0.9991720819399428,0,0.7701850365853659,0.012048192771084338,0,1,0.7609056987951807,1.0,0.9515567253033358,0.8310994560923534,0.9727350655299247,4,0.7310878415300547,0.07936507936507936,0,16,0.6730649969641773,0.8964172125865582,1,0.8246957833827894,0.010666666666666666,0,3,0.9336993242418167,0.9923434309986136,0.9256646578953391,0.9847043563960933,0.9886578449905482,0.9008718500000001
2,v10-tuned-no-art,0.8323214602068183,0.9014898500000001,0.863477,0.8811693142078182,0.7749524399375173,0.782142148351691,0.8200926102721894,0.7441916864311926,0.871095694744209,0.994133,0.990233,0.985434,0.9947919999325031,0.9872396133514377,0.9970588235294118,0.7402379923482973,0.8101632154074002,0.7922689339171038,0.7571396180772678,61.0,0.00045,0.2031,0.28036,0.00363,ul://ruben-croall/top-10-obb-models-from-scoreboard/v10-tuned-from-v9-tight-5,ul://ruben-croall/datasets/sam3-obb-no-art,v10-tuned-no-art,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v10-tuned-no-art.json,0.9579131436149156,0.8321303001640558,0.9782725599885402,2,0.760318525345622,0.056910569105691054,0,12,0.7170483653666029,0.9039301310043668,0.8616220364703158,0.990938746652138,0.8889511945997396,0.965070101285751,0,0.7889784732142857,0.004016064257028112,0,1,0.7858098849684452,0.9911111111111112,0.995,0.8846581460970813,0.999102324426741,0,0.7916811234567901,0.024096385542168676,0,2,0.772604469879518,1.0,0.9539639496375167,0.8407485050203866,0.9785053319058692,1,0.755250489010989,0.07142857142857142,0,17,0.7013040255102041,0.9045226130653267,1,0.8267062603550296,0.008,0,2,0.9318843076653562,0.9937199986977507,0.9257024138167053,0.9898999746878524,0.9924385633270322,0.9014898500000001
3,v10-tuned-no-playground,0.8317094521935148,0.9068174999999999,0.868631,0.8799249762204043,0.773837088911271,0.7803713177538796,0.8151829103638152,0.7455597251439441,0.8712773796752643,0.994333,0.992278,0.991687,0.9948827745383867,0.9900234395792405,1.0,0.7691105125311558,0.795134122550383,0.7712620547161986,0.7598416658473466,61.0,0.00045,0.2031,0.28036,0.00363,ul://ruben-croall/top-10-obb-models-from-scoreboard/v10-tuned-from-v9-tight-5,ul://ruben-croall/datasets/sam3-obb-no-playground,v10-tuned-no-playground,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v10-tuned-no-playground.json,0.9750274635576768,0.851958896878874,0.9442297162018104,2,0.7569052098214285,0.028455284552845527,0,5,0.7353672566964286,0.9301310043668122,0.8615342532093306,0.9893633108047841,0.8777390932584026,0.9520933036140181,1,0.7851116160714285,0.008032128514056224,0,1,0.7788054986732644,0.9822222222222222,0.995,0.8731237885123613,0.9992965841845206,0,0.7854641604938272,0.024096385542168676,0,2,0.7665373132530121,1.0,0.9599227895158784,0.8433152341876848,0.9679574257383459,1,0.7490901086956522,0.06349206349206349,0,15,0.7015288319530711,0.9108134499642262,1,0.8195538643067847,0.005333333333333333,0,1,0.9319376357868239,0.9931618184199463,0.9257014355226899,0.9887102801588367,0.9933032333428108,0.9068174999999999
4,v10-tuned-no-road-to-art,0.828599633116213,0.8877445500000002,0.850523,0.8726000202429685,0.779096046651419,0.7819370767888056,0.8162627692035398,0.7476113843740715,0.872339800693106,0.982266,0.990123,0.966701,0.9948516242317822,0.9912495057027045,0.9995240352563245,0.769453526559069,0.8157762513556619,0.7758281820468713,0.7553262266440737,61.0,0.00045,0.2031,0.28036,0.00363,ul://ruben-croall/top-10-obb-models-from-scoreboard/v10-tuned-from-v9-tight-5,ul://ruben-croall/datasets/sam3-obb-no-road-to-art,v10-tuned-no-road-to-art,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v10-tuned-no-road-to-art.json,0.9777419276229555,0.858870283732379,0.9775131578029472,2,0.7688816816143498,0.032520325203252036,0,6,0.7438773992854278,0.9491409521333676,0.8673175762115533,0.9924855390221732,0.8920266783574373,0.975192989740553,1,0.7978941160714286,0.008032128514056224,0,1,0.7914853279905336,0.9822222222222222,0.995,0.8757055001257792,1.0,0,0.7624404634146341,0.012048192771084338,0,1,0.7532544337349397,1.0,0.9620373563112565,0.8426678426306176,0.9689124822166322,1,0.7525989398907104,0.06746031746031746,0,16,0.7018283764853847,0.9195979899497487,1,0.8206395132743363,0.005333333333333333,0,1,0.9279538918387084,0.9925241717286866,0.9260027507487613,0.9884524152276074,0.9924385633270322,0.8877445500000002
5,v9-tuned-full,0.8178367045946816,0.8822682500000001,0.830946,0.885390979625706,0.7400998647531992,0.7728121109949411,0.8238513019821959,0.7217729200076862,0.8707540820163793,0.993084,0.985004,0.99333,0.9949706744868035,0.9970664347638934,0.9996542544876535,0.7148072649533381,0.7724938336127651,0.7282386999327785,0.7448596605139153,35.0,0.00033,0.25,0.25,0.00188,ul://ruben-croall/results-from-tune-session-35-epochs-12-runs/best,ul://ruben-croall/datasets/baylands-final-sam3-obb-dataset,baylands-leader-v9-tuned-full,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/baylands-leader-v9-tuned-full.json,0.9566179619396299,0.8099972073441141,0.9111898653245789,6,0.7383509908675799,0.06504065040650407,0,10,0.6903281621932658,0.8960708846626286,0.8380395265343694,0.9929023888225433,0.8680876228574467,0.9730220327258376,1,0.7764698303571428,0.008032128514056224,0,1,0.7702331248924268,0.9822222222222222,0.995,0.849436886601785,0.9990560163875671,0,0.7572491358024692,0.024096385542168676,0,2,0.7390021686746989,1.0,0.9479533557756751,0.8246363893341317,0.9572466369031315,5,0.7404150107526882,0.07142857142857142,0,13,0.6875282242703534,0.864321608040201,0,0.8304952640949556,0.008,0,3,0.9356139553410364,0.9936917366068853,0.9257690770153129,0.9905780922156155,0.993721169089104,0.8822682500000001
6,v10-tuned-from-v9-tight-5,0.8163003715319387,0.8865750000000001,0.83611,0.8805331685955222,0.7409612348441866,0.7711301346848831,0.8189858056401181,0.723274463729648,0.8701190631412541,0.99331,0.98527,0.99244,0.9949410029498525,0.9855339736949912,0.9970588235294118,0.7272348849697445,0.7730992877722951,0.7318828853612505,0.7316278812734563,35.0,0.00045,0.2031,0.28036,0.00363,/nfs/home/rubcro20/halmstad_ws/models/obb/mymodels/baylands-leader-v9-tuned-full.pt,/tmp/baylands_super_75_15_10_tune.yaml,v10-tuned-from-v9-tight-5,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v10-tuned-from-v9-tight-5.json,0.9561256470309406,0.8228497492771347,0.9499144053368251,1,0.7515578186046512,0.06097560975609756,0,14,0.70573112234827,0.9110266173593632,0.8405891424667378,0.9912856838810385,0.8661551245785443,0.9689842097310121,2,0.77717114479638,0.024096385542168676,0,4,0.7584441292591179,0.9719663903631536,0.995,0.8514381763550204,0.9990258940633255,0,0.7656278271604938,0.024096385542168676,0,2,0.7471789638554217,1.0,0.9482849205067791,0.8219135196562518,0.967148412374693,3,0.7405146428571429,0.07936507936507936,0,17,0.6817436394557823,0.887642397446838,1,0.823377150442478,0.005333333333333333,0,1,0.9313936642164187,0.9933094010948773,0.9247106637221145,0.9886817186702986,0.9907675127227961,0.8865750000000001
7,v8-tune-from-v7a-best,0.8156844803534226,0.88981125,0.84002,0.8871038024777815,0.7295668010956067,0.7713738885495847,0.8255131265719922,0.7172346505271772,0.8722947915979266,0.99327,0.98869,0.99161,0.9949410029498525,0.9931176612674356,1.0,0.7079518087590675,0.7600232013852016,0.7252833938740602,0.7250088003640973,30.0,0.00033,0.25,0.25,0.00188,v8-tune-from-v7a-best,,v8-tune-from-v7a-best,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v8-tune-from-v7a-best.json,0.9598006385480471,0.8083772373135972,0.9236335336733349,4,0.7215504429223744,0.056910569105691054,0,10,0.6804865965771986,0.8978684094611139,0.8343179291822035,0.992387443189699,0.8615696707871312,0.9841275472066368,1,0.7712693555555555,0.004016064257028112,0,0,0.7681718882641677,0.9777777777777777,0.995,0.8477669590437216,0.9986109241298845,0,0.7527304024390243,0.012048192771084338,0,1,0.7436613614457831,1.0,0.9501463110042405,0.8195578495843641,0.9157059992410442,2,0.7317936758241759,0.07539682539682539,0,17,0.6766187558215595,0.9280209817277196,0,0.8299394704142012,0.005333333333333333,0,2,0.936207058079494,0.9932592426629058,0.9260856925943945,0.988059241838989,0.9924385633270322,0.88981125
8,v9a-tuned-defaults,0.8143362308223268,0.8853737500000002,0.835357,0.8841149114333053,0.7316266233360755,0.7687950250971303,0.8174052546865672,0.7201847955076932,0.8723469830361305,0.993231,0.984645,0.990548,0.9949704142011834,0.9912503281523601,0.9996186218046588,0.7093164610498592,0.7645721948715308,0.7188562240756473,0.7337616133472648,35.0,0.00033,0.25,0.25,0.00188,ul://ruben-croall/uav-assisted-ugv/baylands-leader-v9-tuned-full.pt,ul://ruben-croall/datasets/baylands-final-sam3-obb-dataset,baylands-leader-v9a-tuned-defaults,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/baylands-leader-v9a-tuned-defaults.json,0.9536110064492214,0.8074088583945527,0.8900801837444727,5,0.7287809449541285,0.06504065040650407,0,11,0.6813805582904453,0.9170305676855895,0.8340085663979817,0.9911199936037466,0.8619972070031403,0.9690979191164046,1,0.7745314222222222,0.004016064257028112,0,0,0.7714208542614903,0.9756580612760569,0.995,0.8441694683447023,0.997985451030962,0,0.7342172168674699,0.0,0,0,0.7342172168674699,1.0,0.9516386059339451,0.8224587318495314,0.9516074528834304,5,0.7470836720430107,0.07142857142857142,0,13,0.6937205526113671,0.8893425202226912,0,0.8284512716417911,0.013333333333333334,0,5,0.9343251102144895,0.9939263492415327,0.9263111117781879,0.9886921676095467,0.9924385633270322,0.8853737500000002
9,v9b-patient-saveper,0.814207393169646,0.88660515,0.837639,0.8827907789525267,0.732545817845084,0.7679660639522967,0.8191020592997033,0.7168300686048901,0.8743068598263619,0.993335,0.986805,0.989618,0.9949705014749263,0.9963275889687353,0.9941176470588236,0.7109697775004543,0.7670268947662437,0.7180971812041597,0.7340894179094783,71.0,0.00033,0.25,0.25,0.00188,ul://ruben-croall/uav-assisted-ugv/baylands-leader-v9-tuned-full,ul://ruben-croall/datasets/baylands-final-sam3-obb-dataset,baylands-leader-v9b-patient-saveper,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/baylands-leader-v9b-patient-saveper.json,0.954604755302957,0.8102796653144111,0.8946070780760902,5,0.7302588256880734,0.06504065040650407,0,11,0.6827623167002312,0.925764192139738,0.8349107990944737,0.9915216932751415,0.865477403124921,0.979749390151253,1,0.776366831111111,0.004016064257028112,0,0,0.7732488920303435,0.9822222222222222,0.995,0.8438665910205648,0.9991314135827696,0,0.7349449277108433,0.0,0,0,0.7349449277108433,1.0,0.9483915476783418,0.820019536917998,0.950941004059355,5,0.737851786885246,0.08333333333333333,0,16,0.6763641379781421,0.8766529808412068,0,0.8257077210682493,0.008,0,3,0.9332794346745721,0.9940472781609664,0.9276337144255187,0.9880614751453525,0.994328922495274,0.88660515
10,v7a-ft-nomosaic-lr0002,0.8121887671992901,0.8823868000000001,0.827481,0.8646989976350399,0.7529692945802798,0.7678686516042423,0.8041357101691542,0.7316015930393305,0.8606350197462114,0.993554,0.986802,0.9894,0.995,0.9969924392249999,0.9970588235294118,0.7385630545467204,0.771135108921271,0.7541787941555524,0.7480002206975755,21.0,0.0002,0.0,0.1,1.0,ul://ruben-croall/uav-assisted-ugv/baylands-leader-v6-nomosaic,ul://ruben-croall/datasets/baylands-final-sam3-obb-dataset,baylands-leader-v7a-ft-nomosaic-lr0002,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/baylands-leader-v7a-ft-nomosaic-lr0002.json,0.978692005527836,0.8441966024647143,0.9814371786500103,0,0.7466830678733031,0.032520325203252036,0,8,0.7224006916823014,0.9606986899563319,0.8540962053623329,0.9922897058508882,0.8667629348745071,0.9684735046429702,0,0.7727563733333334,0.0,0,0,0.7727563733333334,0.9822222222222222,0.995,0.8637489861804527,0.9995064939489872,0,0.735411012195122,0.012048192771084338,0,1,0.7265506385542169,1.0,0.9633615646165072,0.8416762979296577,0.9589532090912184,2,0.7430295585106383,0.051587301587301584,0,11,0.7046986685874704,0.9447236180904522,0,0.8150024089552238,0.013333333333333334,0,5,0.9238425161511837,0.9935745158690081,0.9190882784832843,0.9849570309215236,0.9901894090460932,0.8823868000000001
