rank,model_version,eval_score,train_score,train_mAP50-95,main_test_mAP50-95,gen_avg_mAP50-95,pred_avg_score,main_pred_score,gen_avg_pred_score,main_val_mAP50-95,train_mAP50,train_precision,train_recall,main_test_mAP50,main_test_precision,main_test_recall,gen_art_mAP50-95,gen_playground_mAP50-95,gen_road_to_art_mAP50-95,gen_rotundan_mAP50-95,epoch,lr0,mosaic,scale,degrees,model,data,run,metrics_file,gen_art_mAP50,gen_art_metric_score,gen_art_precision,gen_art_pred_false_positive_empty,gen_art_pred_iou,gen_art_pred_issue_rate,gen_art_pred_multi_prediction,gen_art_pred_no_prediction,gen_art_pred_score,gen_art_recall,gen_avg_metric_score,gen_playground_mAP50,gen_playground_metric_score,gen_playground_precision,gen_playground_pred_false_positive_empty,gen_playground_pred_iou,gen_playground_pred_issue_rate,gen_playground_pred_multi_prediction,gen_playground_pred_no_prediction,gen_playground_pred_score,gen_playground_recall,gen_road_to_art_mAP50,gen_road_to_art_metric_score,gen_road_to_art_precision,gen_road_to_art_pred_false_positive_empty,gen_road_to_art_pred_iou,gen_road_to_art_pred_issue_rate,gen_road_to_art_pred_multi_prediction,gen_road_to_art_pred_no_prediction,gen_road_to_art_pred_score,gen_road_to_art_recall,gen_rotundan_mAP50,gen_rotundan_metric_score,gen_rotundan_precision,gen_rotundan_pred_false_positive_empty,gen_rotundan_pred_iou,gen_rotundan_pred_issue_rate,gen_rotundan_pred_multi_prediction,gen_rotundan_pred_no_prediction,gen_rotundan_pred_score,gen_rotundan_recall,main_pred_false_positive_empty,main_pred_iou,main_pred_issue_rate,main_pred_multi_prediction,main_pred_no_prediction,main_test_metric_score,main_val_mAP50,main_val_metric_score,main_val_precision,main_val_recall,train_metric_score
1,v10-tuned-no-road-to-art,0.8288422936532645,0.8877445500000002,0.850523,0.8726000202429685,0.779096046651419,0.7843636821593196,0.8114209787764706,0.7573063855421687,0.872339800693106,0.982266,0.990123,0.966701,0.9948516242317822,0.9912495057027045,0.9995240352563245,0.769453526559069,0.8157762513556619,0.7758281820468713,0.7553262266440737,61.0,0.00045,0.2031,0.28036,0.00363,ul://ruben-croall/top-10-obb-models-from-scoreboard/v10-tuned-from-v9-tight-5,ul://ruben-croall/datasets/sam3-obb-no-road-to-art,v10-tuned-no-road-to-art,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v10-tuned-no-road-to-art.json,0.9777419276229555,0.858870283732379,0.9775131578029472,,,,,,,0.9491409521333676,0.8673175762115533,0.9924855390221732,0.8920266783574373,0.975192989740553,,,,,,,0.9822222222222222,0.995,0.8757055001257792,1.0,0,0.7573063855421687,0.0,0,0,0.7573063855421687,1.0,0.9620373563112565,0.8426678426306176,0.9689124822166322,,,,,,,0.9195979899497487,1,0.8201694529411765,0.010666666666666666,3,0,0.9279538918387084,0.9925241717286866,0.9260027507487613,0.9884524152276074,0.9924385633270322,0.8877445500000002
2,v10-tuned-no-playground,0.8287123651398477,0.9068174999999999,0.868631,0.8799249762204043,0.773837088911271,0.7504004472172088,0.8090349830588235,0.6917659113755941,0.8712773796752643,0.994333,0.992278,0.991687,0.9948827745383867,0.9900234395792405,1.0,0.7691105125311558,0.795134122550383,0.7712620547161986,0.7598416658473466,61.0,0.00045,0.2031,0.28036,0.00363,ul://ruben-croall/top-10-obb-models-from-scoreboard/v10-tuned-from-v9-tight-5,ul://ruben-croall/datasets/sam3-obb-no-playground,v10-tuned-no-playground,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v10-tuned-no-playground.json,0.9750274635576768,0.851958896878874,0.9442297162018104,3,0.7672359285714286,0.14227642276422764,27,5,0.6580763452380952,0.9301310043668122,0.8615342532093306,0.9893633108047841,0.8777390932584026,0.9520933036140181,1,0.7873779733333334,0.12048192771084337,29,0,0.6925131572690764,0.9822222222222222,0.995,0.8731237885123613,0.9992965841845206,0,0.7736706746987951,0.0,0,0,0.7736706746987951,1.0,0.9599227895158784,0.8433152341876848,0.9679574257383459,5,0.7499373796791444,0.14285714285714285,19,12,0.6428034682964096,0.9108134499642262,1,0.8199678882352941,0.013333333333333334,4,0,0.9319376357868239,0.9931618184199463,0.9257014355226899,0.9887102801588367,0.9933032333428108,0.9068174999999999
3,v10-tuned-no-rotundan,0.8284945964817616,0.9008718500000001,0.864358,0.8841161195954161,0.7800178391686107,0.7120029895481059,0.8142766032941178,0.609729375802094,0.8735033805589542,0.992138,0.990889,0.979303,0.9949112426035501,0.9941146616789576,0.9936116251715466,0.7720242539333787,0.8083457608591372,0.7959703917169995,0.7437309501649272,61.0,0.00045,0.2031,0.28036,0.00363,ul://ruben-croall/top-10-obb-models-from-scoreboard/v10-tuned-from-v9-tight-5,ul://ruben-croall/datasets/sam3-obb-no-rotundan,v10-tuned-no-rotundan,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v10-tuned-no-rotundan.json,0.9750988891058032,0.8580122272178959,0.9728991285197034,,,,,,,0.9405946458760446,0.8659662321548544,0.9919184182869945,0.888052321670824,0.9707846954089958,,,,,,,0.9866666666666667,0.995,0.8867009236383441,0.9991720819399428,,,,,,,1.0,0.9515567253033358,0.8310994560923534,0.9727350655299247,6,0.7247726542553192,0.15873015873015872,23,11,0.609729375802094,0.8964172125865582,1,0.8252803411764706,0.013333333333333334,4,0,0.9336993242418167,0.9923434309986136,0.9256646578953391,0.9847043563960933,0.9886578449905482,0.9008718500000001
4,v10-tuned-no-art,0.827712073543533,0.9014898500000001,0.863477,0.8811693142078182,0.7749524399375173,0.7360482817188383,0.8162769074509804,0.6558196559866962,0.871095694744209,0.994133,0.990233,0.985434,0.9947919999325031,0.9872396133514377,0.9970588235294118,0.7402379923482973,0.8101632154074002,0.7922689339171038,0.7571396180772678,61.0,0.00045,0.2031,0.28036,0.00363,ul://ruben-croall/top-10-obb-models-from-scoreboard/v10-tuned-from-v9-tight-5,ul://ruben-croall/datasets/sam3-obb-no-art,v10-tuned-no-art,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v10-tuned-no-art.json,0.9579131436149156,0.8321303001640558,0.9782725599885402,4,0.7574255181818181,0.13414634146341464,20,9,0.6558196559866962,0.9039301310043668,0.8616220364703158,0.990938746652138,0.8889511945997396,0.965070101285751,,,,,,,0.9911111111111112,0.995,0.8846581460970813,0.999102324426741,,,,,,,1.0,0.9539639496375167,0.8407485050203866,0.9785053319058692,,,,,,,0.9045226130653267,2,0.8273076764705882,0.013333333333333334,3,0,0.9318843076653562,0.9937199986977507,0.9257024138167053,0.9898999746878524,0.9924385633270322,0.9014898500000001
5,v10-tuned-from-v9-tight-5,0.8127976913096987,0.8865750000000001,0.83611,0.8805331685955222,0.7409612348441866,0.7361033324624833,0.8081146463402162,0.6640920185847502,0.8701190631412541,0.99331,0.98527,0.99244,0.9949410029498525,0.9855339736949912,0.9970588235294118,0.7272348849697445,0.7730992877722951,0.7318828853612505,0.7316278812734563,35.0,0.00045,0.2031,0.28036,0.00363,/nfs/home/rubcro20/halmstad_ws/models/obb/mymodels/baylands-leader-v9-tuned-full.pt,/tmp/baylands_super_75_15_10_tune.yaml,v10-tuned-from-v9-tight-5,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v10-tuned-from-v9-tight-5.json,0.9561256470309406,0.8228497492771347,0.9499144053368251,3,0.744542628959276,0.2073170731707317,40,8,0.5901862302725969,0.9110266173593632,0.8405891424667378,0.9912856838810385,0.8661551245785443,0.9689842097310121,2,0.772942208888889,0.09236947791164658,21,0,0.7015459405979474,0.9719663903631536,0.995,0.8514381763550204,0.9990258940633255,0,0.7553797228915663,0.0,0,0,0.7553797228915663,1.0,0.9482849205067791,0.8219135196562518,0.967148412374693,8,0.7381372956989246,0.1746031746031746,23,13,0.6092561805768901,0.887642397446838,2,0.8234863923303835,0.018666666666666668,4,1,0.9313936642164187,0.9933094010948773,0.9247106637221145,0.9886817186702986,0.9907675127227961,0.8865750000000001
6,v8-tune-from-v7a-best,0.8113870704032577,0.88981125,0.84002,0.8871038024777815,0.7295668010956067,0.7283997890479368,0.8122674303294118,0.6445321477664618,0.8722947915979266,0.99327,0.98869,0.99161,0.9949410029498525,0.9931176612674356,1.0,0.7079518087590675,0.7600232013852016,0.7252833938740602,0.7250088003640973,30.0,0.00033,0.25,0.25,0.00188,v8-tune-from-v7a-best,,v8-tune-from-v7a-best,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v8-tune-from-v7a-best.json,0.9598006385480471,0.8083772373135972,0.9236335336733349,8,0.7240999684684685,0.2967479674796748,58,7,0.5092247745733538,0.8978684094611139,0.8343179291822035,0.992387443189699,0.8615696707871312,0.9841275472066368,5,0.7712693555555555,0.08032128514056225,15,0,0.7093200097278001,0.9777777777777777,0.995,0.8477669590437216,0.9986109241298845,0,0.7518771445783132,0.0,0,0,0.7518771445783132,1.0,0.9501463110042405,0.8195578495843641,0.9157059992410442,7,0.729247994623656,0.16666666666666666,22,13,0.60770666218638,0.9280209817277196,2,0.8299735323529412,0.021333333333333333,6,0,0.936207058079494,0.9932592426629058,0.9260856925943945,0.988059241838989,0.9924385633270322,0.88981125
7,v9a-tuned-defaults,0.8111048065430215,0.8853737500000002,0.835357,0.8841149114333053,0.7316266233360755,0.7364807823040781,0.8211986624941177,0.6517629021140385,0.8723469830361305,0.993231,0.984645,0.990548,0.9949704142011834,0.9912503281523601,0.9996186218046588,0.7093164610498592,0.7645721948715308,0.7188562240756473,0.7337616133472648,35.0,0.00033,0.25,0.25,0.00188,ul://ruben-croall/uav-assisted-ugv/baylands-leader-v9-tuned-full.pt,ul://ruben-croall/datasets/baylands-final-sam3-obb-dataset,baylands-leader-v9a-tuned-defaults,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/baylands-leader-v9a-tuned-defaults.json,0.9536110064492214,0.8074088583945527,0.8900801837444727,6,0.7241059058295964,0.2804878048780488,57,6,0.5210030298042219,0.9170305676855895,0.8340085663979817,0.9911199936037466,0.8619972070031403,0.9690979191164046,3,0.7745619244444444,0.0642570281124498,13,0,0.7247908770905845,0.9756580612760569,0.995,0.8441694683447023,0.997985451030962,0,0.7342172168674699,0.0,0,0,0.7342172168674699,1.0,0.9516386059339451,0.8224587318495314,0.9516074528834304,6,0.7418507142857144,0.15476190476190477,23,10,0.6270404846938776,0.8893425202226912,2,0.8278212323529412,0.008,1,0,0.9343251102144895,0.9939263492415327,0.9263111117781879,0.9886921676095467,0.9924385633270322,0.8853737500000002
8,v9b-patient-saveper,0.8103229489410617,0.88660515,0.837639,0.8827907789525267,0.732545817845084,0.7291216216664546,0.8073866786196078,0.6508565647133013,0.8743068598263619,0.993335,0.986805,0.989618,0.9949705014749263,0.9963275889687353,0.9941176470588236,0.7109697775004543,0.7670268947662437,0.7180971812041597,0.7340894179094783,71.0,0.00033,0.25,0.25,0.00188,ul://ruben-croall/uav-assisted-ugv/baylands-leader-v9-tuned-full,ul://ruben-croall/datasets/baylands-final-sam3-obb-dataset,baylands-leader-v9b-patient-saveper,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/baylands-leader-v9b-patient-saveper.json,0.954604755302957,0.8102796653144111,0.8946070780760902,6,0.7283920672645741,0.2804878048780488,57,6,0.5240869752269496,0.925764192139738,0.8349107990944737,0.9915216932751415,0.865477403124921,0.979749390151253,3,0.776366831111111,0.0642570281124498,13,0,0.7264798058188308,0.9822222222222222,0.995,0.8438665910205648,0.9991314135827696,0,0.7349449277108433,0.0,0,0,0.7349449277108433,1.0,0.9483915476783418,0.820019536917998,0.950941004059355,6,0.7345022010582011,0.15873015873015872,24,10,0.6179145500965819,0.8766529808412068,2,0.824986388235294,0.021333333333333333,6,0,0.9332794346745721,0.9940472781609664,0.9276337144255187,0.9880614751453525,0.994328922495274,0.88660515
9,v7a-ft-nomosaic-lr0002,0.8102739935083375,0.8823868000000001,0.827481,0.8646989976350399,0.7529692945802798,0.7487209146947156,0.8005220877089477,0.6969197416804835,0.8606350197462114,0.993554,0.986802,0.9894,0.995,0.9969924392249999,0.9970588235294118,0.7385630545467204,0.771135108921271,0.7541787941555524,0.7480002206975755,21.0,0.0002,0.0,0.1,1.0,ul://ruben-croall/uav-assisted-ugv/baylands-leader-v6-nomosaic,ul://ruben-croall/datasets/baylands-final-sam3-obb-dataset,baylands-leader-v7a-ft-nomosaic-lr0002,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/baylands-leader-v7a-ft-nomosaic-lr0002.json,0.978692005527836,0.8441966024647143,0.9814371786500103,1,0.7436539066666666,0.06097560975609756,10,4,0.6983091562601625,0.9606986899563319,0.8540962053623329,0.9922897058508882,0.8667629348745071,0.9684735046429702,1,0.7727638844444444,0.08835341365461848,21,0,0.7044875573047746,0.9822222222222222,0.995,0.8637489861804527,0.9995064939489872,0,0.7336858313253012,0.0,0,0,0.7336858313253012,1.0,0.9633615646165072,0.8416762979296577,0.9589532090912184,6,0.74932191005291,0.13095238095238096,17,10,0.6511964218316957,0.9447236180904522,1,0.8157494100294984,0.018666666666666668,5,1,0.9238425161511837,0.9935745158690081,0.9190882784832843,0.9849570309215236,0.9901894090460932,0.8823868000000001
10,v9-fuller,0.7976237772744741,0.86439275,0.80457,0.8398564283211509,0.7511670947870894,0.7632290135447479,0.8098052554588236,0.7166527716306723,0.8366937677139556,0.9835,0.9815,0.97984,0.995,0.9981199456096503,1.0,0.7269104805753075,0.7810891316711317,0.7652237650246208,0.7314450018772979,36.0,0.00033,0.25,0.25,0.00188,ul://ruben-croall/uav-assisted-ugv/baylands-leader-v9-tuned-full,/datasets/baylands-sam3-obb-all-be3af914/data.yaml,baylands-leader-v9-fuller,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/baylands-leader-v9-fuller.json,0.9770000908944277,0.8344100066368624,0.9837952981841355,4,0.7451290225225226,0.12601626016260162,20,7,0.6512306497656193,0.9388646288209607,0.8516550002506103,0.9937399399399399,0.8760239994007584,0.9901032232698108,2,0.7869433955555556,0.0321285140562249,6,0,0.7616600736099957,0.9911111111111112,0.995,0.869593210315983,1.0,0,0.7751062289156626,0.0,0,0,0.7751062289156626,0.9981342636829442,0.945422927926284,0.8265927846488375,0.9733919076831714,5,0.7533513736842106,0.0992063492063492,11,9,0.6786141342314119,0.919161715084998,1,0.8229728205882354,0.016,5,0,0.9107330301375981,0.9938613486264357,0.9069052970815396,0.9880211673928563,0.994328922495274,0.86439275
