rank,model_version,eval_score,train_score,train_mAP50-95,main_test_mAP50-95,gen_avg_mAP50-95,pred_avg_score,main_pred_score,gen_avg_pred_score,main_val_mAP50-95,train_mAP50,train_precision,train_recall,main_test_mAP50,main_test_precision,main_test_recall,gen_art_mAP50-95,gen_playground_mAP50-95,gen_road_to_art_mAP50-95,gen_rotundan_mAP50-95,epoch,lr0,mosaic,scale,degrees,model,data,run,metrics_file,gen_art_mAP50,gen_art_metric_score,gen_art_precision,gen_art_pred_false_positive_empty,gen_art_pred_iou,gen_art_pred_issue_rate,gen_art_pred_multi_prediction,gen_art_pred_no_prediction,gen_art_pred_score,gen_art_recall,gen_avg_metric_score,gen_playground_mAP50,gen_playground_metric_score,gen_playground_precision,gen_playground_pred_false_positive_empty,gen_playground_pred_iou,gen_playground_pred_issue_rate,gen_playground_pred_multi_prediction,gen_playground_pred_no_prediction,gen_playground_pred_score,gen_playground_recall,gen_road_to_art_mAP50,gen_road_to_art_metric_score,gen_road_to_art_precision,gen_road_to_art_pred_false_positive_empty,gen_road_to_art_pred_iou,gen_road_to_art_pred_issue_rate,gen_road_to_art_pred_multi_prediction,gen_road_to_art_pred_no_prediction,gen_road_to_art_pred_score,gen_road_to_art_recall,gen_rotundan_mAP50,gen_rotundan_metric_score,gen_rotundan_precision,gen_rotundan_pred_false_positive_empty,gen_rotundan_pred_iou,gen_rotundan_pred_issue_rate,gen_rotundan_pred_multi_prediction,gen_rotundan_pred_no_prediction,gen_rotundan_pred_score,gen_rotundan_recall,main_pred_false_positive_empty,main_pred_iou,main_pred_issue_rate,main_pred_multi_prediction,main_pred_no_prediction,main_test_metric_score,main_val_mAP50,main_val_metric_score,main_val_precision,main_val_recall,train_metric_score
1,v10-tuned-no-playground,0.812979886014923,0.9068174999999999,0.868631,0.8475471798030115,0.7704089945347797,0.7507740701639499,0.8090349830588235,0.6925131572690764,0.8377282025477945,0.994333,0.992278,0.991687,0.9948827745383867,0.9900234395792405,1.0,,0.7704089945347797,,,61.0,0.00045,0.2031,0.28036,0.00363,ul://ruben-croall/top-10-obb-models-from-scoreboard/v10-tuned-from-v9-tight-5,ul://ruben-croall/datasets/sam3-obb-no-playground,v10-tuned-no-playground,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v10-tuned-no-playground.json,,,,,,,,,,,0.8641402728498208,0.9893633108047841,0.8641402728498208,0.9520933036140181,1,0.7873779733333334,0.12048192771084337,29,0,0.6925131572690764,0.9822222222222222,,,,,,,,,,,,,,,,,,,,,1,0.8199678882352941,0.013333333333333334,4,0,0.9141298477572578,0.9931618184199463,0.9072493881025815,0.9887102801588367,0.9933032333428108,0.9068174999999999
2,v9-fuller,0.7993237754802572,0.8744937,0.82157,0.8398564283211509,0.7511670947870894,0.7632289956025797,0.8098052149411765,0.716652776263983,0.8366937677139556,0.983448,0.990627,0.978831,0.995,0.9981199456096503,1.0,0.7269104805753075,0.7810891316711317,0.7652237650246208,0.7314450018772979,36.0,0.00033,0.25,0.25,0.00188,ul://ruben-croall/uav-assisted-ugv/baylands-leader-v9-tuned-full,ul://ruben-croall/datasets/baylands-sam3-obb-all,baylands-leader-v9-fuller,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/baylands-leader-v9-fuller.json,0.9770000908944277,0.8344100066368624,0.9837952981841355,4,0.745128981981982,0.12601626016260162,20,7,0.6512306143338461,0.9388646288209607,0.8516550002506103,0.9937399399399399,0.8760239994007584,0.9901032232698108,2,0.7869434533333333,0.0321285140562249,6,0,0.7616601295314591,0.9911111111111112,0.995,0.869593210315983,1.0,0,0.7751061084337348,0.0,0,0,0.7751061084337348,0.9981342636829442,0.945422927926284,0.8265927846488375,0.9733919076831714,5,0.7533515052631579,0.0992063492063492,11,9,0.6786142527568922,0.919161715084998,1,0.8229727794117647,0.016,5,0,0.9107330301375981,0.9938613486264357,0.9069052970815396,0.9880211673928563,0.994328922495274,0.8744937
3,v10-tuned-no-road-to-art,0.7975663549135181,0.8877445500000002,0.850523,0.8385830799505563,0.7334722877709595,0.7843636821593196,0.8114209787764706,0.7573063855421687,0.8372829153632981,0.982266,0.990123,0.966701,0.9948516242317822,0.9912495057027045,0.9995240352563245,,,0.7334722877709595,,61.0,0.00045,0.2031,0.28036,0.00363,ul://ruben-croall/top-10-obb-models-from-scoreboard/v10-tuned-from-v9-tight-5,ul://ruben-croall/datasets/sam3-obb-no-road-to-art,v10-tuned-no-road-to-art,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v10-tuned-no-road-to-art.json,,,,,,,,,,,0.8524097582740278,,,,,,,,,,,0.995,0.8524097582740278,1.0,0,0.7573063855421687,0.0,0,0,0.7573063855421687,1.0,,,,,,,,,,,1,0.8201694529411765,0.010666666666666666,3,0,0.9092445746778816,0.9925241717286866,0.906721463817367,0.9884524152276074,0.9924385633270322,0.8877445500000002
4,v10-1-defaults,0.7950706600620311,0.8939946500000001,0.850976,0.8313138782115764,0.7474172165241828,0.7428578908335769,0.7868990584470588,0.698816723220095,0.833112571980476,0.991712,0.990307,0.976815,0.995,1.0,0.9937644154092973,0.7545627961395882,0.7642989630566936,0.7398364538355383,0.7309706530649112,61.0,0.01,1.0,0.5,0.0,ul://ruben-croall/uav-assisted-ugv/baylands-leader-v10-tuned-full,ul://ruben-croall/datasets/baylands-sam3-obb-all,baylands-leader-v10-1-defaults,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/baylands-leader-v10-1-defaults.json,0.9881871874594841,0.8540790298195646,0.9798227279150558,4,0.7609527276785714,0.11788617886178862,20,5,0.6712469183180894,0.9563318777292577,0.8506548817734918,0.9934701212394225,0.8653505652871742,0.9762544469144158,1,0.7785593777777777,0.04417670682730924,10,0,0.7441651883980366,0.9911111111111112,0.9948809523809524,0.8545756433100921,0.9868940322435544,0,0.7608782771084338,0.04819277108433735,4,0,0.724209444476702,1.0,0.9575273882535109,0.8286142886771363,0.9638148450404952,6,0.7510119368421053,0.12698412698412698,17,9,0.6556453416875523,0.9246231155778895,1,0.8018672470588235,0.018666666666666668,6,0,0.9052872953277616,0.9929635595166763,0.9050003887430043,0.9904642387611606,0.994328922495274,0.8939946500000001
5,v10-tuned-no-art,0.7945111058513186,0.9014898500000001,0.863477,0.8483127791997902,0.722336648684369,0.7360482817188383,0.8162769074509804,0.6558196559866962,0.8354520361244457,0.994133,0.990233,0.985434,0.9947919999325031,0.9872396133514377,0.9970588235294118,0.722336648684369,,,,61.0,0.00045,0.2031,0.28036,0.00363,ul://ruben-croall/top-10-obb-models-from-scoreboard/v10-tuned-from-v9-tight-5,ul://ruben-croall/datasets/sam3-obb-no-art,v10-tuned-no-art,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v10-tuned-no-art.json,0.9510400476257312,0.8209099419510583,0.9782725599885402,4,0.7574255181818181,0.13414634146341464,20,9,0.6558196559866962,0.9039301310043668,0.8209099419510583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.8273076764705882,0.013333333333333334,3,0,0.9138132134109409,0.9937199986977507,0.9060984015758354,0.9898999746878524,0.9924385633270322,0.9014898500000001
6,v9-2-full,0.7881496428410444,0.8251019500000001,0.763924,0.8002341957045479,0.7898822139483969,0.751930798920589,0.7682308530186824,0.7356307448224955,0.7807630694124518,0.981227,0.966522,0.947761,0.995,0.9941457016538148,0.9989117915752723,0.7876051234221354,0.8230943371798121,0.7807964043820282,0.7680329908096118,39.0,0.00033,0.25,0.25,0.00188,ul://ruben-croall/uav-assisted-ugv/baylands-leader-v9-tuned-full,ul://ruben-croall/datasets/baylands-sam3-obb-generalization-all,baylands-generalized-v9-2-full,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/baylands-generalized-v9-2-full.json,0.9877147848033122,0.871797973398713,0.9631237322836516,2,0.7664240352422907,0.11382113821138211,24,2,0.6791887791984528,0.9650655021834061,0.8758097605633578,0.9932839407288748,0.8982436908420275,0.9823765963447292,0,0.8007218622222222,0.012048192771084338,3,0,0.7910746108701472,0.9909823840858856,0.995,0.8783125235113015,0.9987450110118589,0,0.7902036867469879,0.012048192771084338,1,0,0.7806831604006387,1.0,0.9745269990802885,0.8548848545013892,0.9738180593886604,2,0.764373947643979,0.09523809523809523,14,8,0.691576428820743,0.9345300253411923,1,0.7786123510324484,0.013333333333333334,3,1,0.8883801465391737,0.9931983026130834,0.8747894774571805,0.9886251463217199,0.9857840941702888,0.8251019500000001
7,v10-tuned-no-rotundan,0.787659726835757,0.9008718500000001,0.864358,0.8513521574237245,0.7054718772579156,0.7120029895481059,0.8142766032941178,0.609729375802094,0.839691524966606,0.992138,0.990889,0.979303,0.9949112426035501,0.9941146616789576,0.9936116251715466,,,,0.7054718772579156,61.0,0.00045,0.2031,0.28036,0.00363,ul://ruben-croall/top-10-obb-models-from-scoreboard/v10-tuned-from-v9-tight-5,ul://ruben-croall/datasets/sam3-obb-no-rotundan,v10-tuned-no-rotundan,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v10-tuned-no-rotundan.json,,,,,,,,,,,0.8068483896641659,,,,,,,,,,,,,,,,,,,,,0.9355138436566808,0.8068483896641659,0.9727350655299247,6,0.7247726542553192,0.15873015873015872,23,11,0.609729375802094,0.8964172125865582,1,0.8252803411764706,0.013333333333333334,4,0,0.9156791450473862,0.9923434309986136,0.9070681373195476,0.9847043563960933,0.9886578449905482,0.9008718500000001
8,v9-tuned-full,0.7872189917424516,0.8822682500000001,0.830946,0.8530102772433772,0.7078242535444926,0.7253127824235936,0.8142934142745099,0.6363321505726776,0.834359890091617,0.993084,0.985004,0.99333,0.9949706744868035,0.9970664347638934,0.9996542544876535,0.7008369560051853,0.7409361708852307,0.6843814410675303,0.7051424462200243,35.0,0.00033,0.25,0.25,0.00188,ul://ruben-croall/results-from-tune-session-35-epochs-12-runs/best,ul://ruben-croall/datasets/baylands-final-sam3-obb-dataset,baylands-leader-v9-tuned-full,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/baylands-leader-v9-tuned-full.json,0.9535637155281467,0.8017026881403334,0.9111898653245789,8,0.7368374394618834,0.3170731707317073,64,6,0.5032060562178715,0.8960708846626286,0.8190737243462962,0.9925620580389859,0.8500109247964615,0.9730220327258376,5,0.7770495022222222,0.09236947791164658,17,1,0.7052738453904507,0.9778761061946902,0.995,0.8253153942258985,0.9990560163875671,0,0.7573350487804879,0.03614457831325301,2,1,0.7299614928004702,1.0,0.9303231995256751,0.7992658902224917,0.9572466369031315,7,0.7317491693121693,0.17063492063492064,26,10,0.6068872078819181,0.864321608040201,2,0.8297826911764706,0.018666666666666668,5,0,0.9178045690307556,0.9936917366068853,0.9057522714566937,0.9905780922156155,0.993721169089104,0.8822682500000001
9,v8-tune-from-v7a-best,0.7857955944261814,0.88981125,0.84002,0.8557578104158324,0.6968609119297301,0.7280126056365133,0.8122674303294118,0.6437577809436148,0.8391556303126244,0.99327,0.98869,0.99161,0.9949410029498525,0.9931176612674356,1.0,0.6922428793614073,0.7277733940196783,0.6850765738287754,0.6823508005090593,30.0,0.00033,0.25,0.25,0.00188,baylands-leader-v8-tune-from-v7a-best,,baylands-leader-v8-tune-from-v7a-best,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/baylands-leader-v8-tune-from-v7a-best.json,0.9554163650437737,0.7988604714440294,0.9236335336733349,8,0.7240999684684685,0.2967479674796748,58,7,0.5092247745733538,0.8978684094611139,0.8151213567331358,0.9920971358610937,0.8431252477187497,0.9841275472066368,5,0.7712693555555555,0.08433734939759036,15,1,0.7062225424364124,0.9734513274336283,0.995,0.825653208018815,0.9986109241298845,0,0.7518771445783132,0.0,0,0,0.7518771445783132,1.0,0.9338990614385199,0.792846499750949,0.9157059992410442,7,0.729247994623656,0.16666666666666666,22,13,0.60770666218638,0.9280209817277196,2,0.8299735323529412,0.021333333333333333,6,0,0.918966762445422,0.9932592426629058,0.9078591538874784,0.988059241838989,0.9924385633270322,0.88981125
10,v10-tuned-from-v9-tight-5,0.7857667058588158,0.8865750000000001,0.83611,0.8472081878370054,0.7066871154446812,0.7357153092652499,0.8081146463402162,0.6633159721902835,0.8344826315757553,0.99331,0.98527,0.99244,0.9949410029498525,0.9855339736949912,0.9970588235294118,0.7068707057867699,0.742595236578371,0.6878298107963936,0.6894527086171905,35.0,0.00045,0.2031,0.28036,0.00363,/nfs/home/rubcro20/halmstad_ws/models/obb/mymodels/baylands-leader-v9-tuned-full.pt,/tmp/baylands_super_75_15_10_tune.yaml,v10-tuned-from-v9-tight-5,/home/ruben/halmstad_ws/models/obb/experiments/sam3_hybrid_full/metrics/v10-tuned-from-v9-tight-5.json,0.9501387189263655,0.8104520651055835,0.9499144053368251,3,0.744542628959276,0.2073170731707317,40,8,0.5901862302725969,0.9110266173593632,0.8201811382854349,0.9906353383789678,0.8486027168853901,0.9689842097310121,2,0.772942208888889,0.0963855421686747,21,1,0.6984417550200804,0.9676656541226085,0.995,0.8272089853443491,0.9990258940633255,0,0.7553797228915663,0.0,0,0,0.7553797228915663,1.0,0.9270029760623347,0.7944607858064168,0.967148412374693,8,0.7381372956989246,0.1746031746031746,23,13,0.6092561805768901,0.887642397446838,2,0.8234863923303835,0.018666666666666668,4,1,0.9130649247992344,0.9933094010948773,0.9051106263610902,0.9886817186702986,0.9907675127227961,0.8865750000000001
